Profile,State,Exempt,Description,Status,Category,Classification,Type
SAP Financial Accounting,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Retail Adding Points,Monitor,True,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Retail,Monitor,True,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Electronic Messaging,Monitor,True,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Outlook Web Access (OWA),Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
SAP Human Resources,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Supply Chain Management,Monitor,False,Manage changes.,Not Applicable,Operational management,Preventive,Business Processes
Bond Trading - DR,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Bond Trading,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Portals,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Jobvite Enterprise Recruitment Services,Monitor,False,Manage changes.,Not Applicable,Operational management,Preventive,Business Processes
SAP Enterprise Services,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
SAP Sales and Distribution,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Retail Client Lookup,Monitor,False,Manage changes.,Non Compliant,Operational management,Preventive,Business Processes
IT Services,Monitor,False,Manage changes.,Not Applicable,Operational management,Preventive,Business Processes
SAP Plant Maintenance,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft HRMS,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Sales Force Automation,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft CRM,Monitor,False,Manage changes.,Not Applicable,Operational management,Preventive,Business Processes
Securities Lending,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Reporting,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Windows Mobile,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
SAP Labor Distribution,Monitor,False,Manage changes.,Not Applicable,Operational management,Preventive,Business Processes
SAP Controlling,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Retail Client Registration,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Financials,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
ServiceNow Enterprise Services,Attest,False,Manage changes.,Not Applicable,Operational management,Preventive,Business Processes
PeopleSoft Enterprise Services,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Client Services,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Retail POS (Point of Sale),Monitor,False,Manage changes.,Non Compliant,Operational management,Preventive,Business Processes
Email,Monitor,False,Manage changes.,Not Applicable,Operational management,Preventive,Business Processes
Blackberry,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
SAP Payroll,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
SAP Materials Management,Attest,False,Manage changes.,Non Compliant,Operational management,Preventive,Business Processes
PeopleSoft Governance,Attest,False,Manage changes.,,Operational management,Preventive,Business Processes
PeopleSoft Asset Lifecycle Management,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
Workday Enterprise Services,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
E-Commerce,Monitor,False,Manage changes.,Non Compliant,Operational management,Preventive,Business Processes
OpenText Enterprise Services,Attest,False,Manage changes.,,Operational management,Preventive,Business Processes
This Service-now instance,Monitor,False,Manage changes.,Compliant,Operational management,Preventive,Business Processes
SAP Financial Accounting,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail Adding Points,Attest,False,Update associated documentation after the system configuration has been changed.,,Operational management,Preventive,Establish/Maintain Documentation
Retail,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Electronic Messaging,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Outlook Web Access (OWA),Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Human Resources,Attest,False,Update associated documentation after the system configuration has been changed.,,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Supply Chain Management,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Bond Trading - DR,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Bond Trading,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Portals,Monitor,False,Update associated documentation after the system configuration has been changed.,Not Applicable,Operational management,Preventive,Establish/Maintain Documentation
Jobvite Enterprise Recruitment Services,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Enterprise Services,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Sales and Distribution,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail Client Lookup,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
IT Services,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Plant Maintenance,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft HRMS,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Sales Force Automation,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft CRM,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Securities Lending,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Reporting,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Windows Mobile,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Labor Distribution,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Controlling,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail Client Registration,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Financials,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
ServiceNow Enterprise Services,Attest,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Enterprise Services,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Client Services,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail POS (Point of Sale),Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
Email,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Blackberry,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Payroll,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Materials Management,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Governance,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Asset Lifecycle Management,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Workday Enterprise Services,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
E-Commerce,Monitor,False,Update associated documentation after the system configuration has been changed.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
OpenText Enterprise Services,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
This Service-now instance,Monitor,False,Update associated documentation after the system configuration has been changed.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Financial Accounting,Monitor,False,Approve change requests prior to implementing approved changes.,Non Compliant,Operational management,Preventive,Business Processes
Retail Adding Points,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Retail,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Electronic Messaging,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Outlook Web Access (OWA),Monitor,False,Approve change requests prior to implementing approved changes.,Non Compliant,Operational management,Preventive,Business Processes
SAP Human Resources,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Supply Chain Management,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Bond Trading - DR,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Bond Trading,Monitor,False,Approve change requests prior to implementing approved changes.,Non Compliant,Operational management,Preventive,Business Processes
PeopleSoft Portals,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Jobvite Enterprise Recruitment Services,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Enterprise Services,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Sales and Distribution,Monitor,False,Approve change requests prior to implementing approved changes.,Non Compliant,Operational management,Preventive,Business Processes
Retail Client Lookup,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
IT Services,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Plant Maintenance,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft HRMS,Monitor,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
Sales Force Automation,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft CRM,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Securities Lending,Monitor,False,Approve change requests prior to implementing approved changes.,Non Compliant,Operational management,Preventive,Business Processes
PeopleSoft Reporting,Monitor,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
Windows Mobile,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Labor Distribution,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Controlling,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Retail Client Registration,Monitor,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
PeopleSoft Financials,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
ServiceNow Enterprise Services,Attest,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Enterprise Services,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Client Services,Monitor,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
Retail POS (Point of Sale),Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Email,Monitor,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
Blackberry,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Payroll,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Materials Management,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
PeopleSoft Governance,Monitor,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
PeopleSoft Asset Lifecycle Management,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
Workday Enterprise Services,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
E-Commerce,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
OpenText Enterprise Services,Monitor,False,Approve change requests prior to implementing approved changes.,Not Applicable,Operational management,Preventive,Business Processes
This Service-now instance,Monitor,False,Approve change requests prior to implementing approved changes.,Compliant,Operational management,Preventive,Business Processes
SAP Financial Accounting,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
Retail Adding Points,Attest,False,Update the system's backup procedures after an approved change has occurred.,,Operational management,Preventive,Data and Information Management
Retail,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Electronic Messaging,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Outlook Web Access (OWA),Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
SAP Human Resources,Attest,False,Update the system's backup procedures after an approved change has occurred.,,Operational management,Preventive,Data and Information Management
PeopleSoft Supply Chain Management,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Bond Trading - DR,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Bond Trading,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
PeopleSoft Portals,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Not Applicable,Operational management,Preventive,Data and Information Management
Jobvite Enterprise Recruitment Services,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
SAP Enterprise Services,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
SAP Sales and Distribution,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
Retail Client Lookup,Attest,False,Update the system's backup procedures after an approved change has occurred.,,Operational management,Preventive,Data and Information Management
IT Services,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
SAP Plant Maintenance,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
PeopleSoft HRMS,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
Sales Force Automation,Attest,False,Update the system's backup procedures after an approved change has occurred.,,Operational management,Preventive,Data and Information Management
PeopleSoft CRM,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Securities Lending,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
PeopleSoft Reporting,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
Windows Mobile,Attest,False,Update the system's backup procedures after an approved change has occurred.,,Operational management,Preventive,Data and Information Management
SAP Labor Distribution,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
SAP Controlling,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Retail Client Registration,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
PeopleSoft Financials,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
ServiceNow Enterprise Services,Attest,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
PeopleSoft Enterprise Services,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Client Services,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Retail POS (Point of Sale),Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
Email,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Blackberry,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
SAP Payroll,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
SAP Materials Management,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
PeopleSoft Governance,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
PeopleSoft Asset Lifecycle Management,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
Workday Enterprise Services,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
E-Commerce,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Non Compliant,Operational management,Preventive,Data and Information Management
OpenText Enterprise Services,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
This Service-now instance,Monitor,False,Update the system's backup procedures after an approved change has occurred.,Compliant,Operational management,Preventive,Data and Information Management
SAP Financial Accounting,Monitor,False,Establish and maintain a change control program.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail Adding Points,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Electronic Messaging,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Outlook Web Access (OWA),Monitor,False,Establish and maintain a change control program.,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Human Resources,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Supply Chain Management,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Bond Trading - DR,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Bond Trading,Monitor,False,,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
PeopleSoft Portals,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
Jobvite Enterprise Recruitment Services,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Enterprise Services,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
SAP Sales and Distribution,Monitor,False,,Non Compliant,Operational management,Preventive,Establish/Maintain Documentation
Retail Client Lookup,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
IT Services,Monitor,False,Establish and maintain a change control program.,Compliant,Operational management,Preventive,Establish/Maintain Documentation
